term,b0,b1,b1prior,count,political,demPolitical,repPolitical,interPartyPolitical,nWords,totCount,demCount,repCount,totCandN,demIncN,repIncN,demCandN,repCandN,maxCandN,secondCandN,maxGap,maxGap2ndRatio,maxToTotalMinusMaxRatio,outlierCapped,maxDemCandN,secondDemCandN,maxDemGap,maxDemGap2ndRatio,maxDemToTotalMinusMaxRatio,outlierCappedDem,maxRepCandN,secondRepCandN,maxRepGap,maxRepToTotalMinusMaxRatio,maxRepGap2ndRatio,outlierCappedRep,bParty,tParty,bDemRCCount,tDemRCCount,bRepRCCount,tRepRCCount,numChar
support_military,-2.44,2.18,0,30,1,1,0,0,2,55,30,25,51,9,5,27,24,2,2,0,0,0.038,0,2,2,0,0,0.071,0,2,1,1,0.087,1,0,0.01,0.33,2.41,2.19,-0.512,-0.31,16
find_ways,-2.02,2.21,0,40,1,1,0,0,2,64,40,24,59,14,3,37,22,2,2,0,0,0.032,0,2,2,0,0,0.053,0,2,2,0,0.091,0,0,-0.02,-0.79,2.51,2.75,-0.023,-0.01,9
legislation_help,-1.62,1.44,0,52,1,1,0,0,2,68,52,16,57,26,9,41,16,3,3,0,0,0.046,0,3,3,0,0,0.061,0,1,1,0,0.067,0,0,-0.06,-1.35,1.62,3.01,-0.696,-0.57,16
business_community,-2.93,1.97,0,28,1,1,0,0,2,50,28,22,44,7,6,22,22,4,3,1,0.333,0.087,0,4,3,1,0.333,0.167,0,1,1,0,0.048,0,0,0.02,0.83,2.01,1.66,0.892,0.54,18
lowering_cost,-1.42,3.14,0,35,1,1,0,0,2,53,35,18,46,14,6,29,17,3,3,0,0,0.06,0,3,3,0,0,0.094,0,2,1,1,0.125,1,0,0,-0.14,3.26,3.54,0.255,0.16,13
jobs_future,-1.34,2.2,0,53,1,1,1,0,2,68,53,15,55,21,4,42,13,5,2,3,1.5,0.079,0,5,2,3,1.5,0.104,0,2,2,0,0.154,0,0,-0.05,-1.05,2.48,3.85,-3.451,-2.76,11
foreign_oil,-2.24,0.91,0,39,1,1,0,0,2,56,39,17,45,22,7,29,16,3,2,1,0.5,0.057,0,3,2,1,0.5,0.083,0,2,1,1,0.133,1,0,-0.01,-0.31,1.23,2.03,-0.884,-0.69,11
member_committee,-3.64,-1.22,0,42,1,1,0,0,2,71,42,29,46,25,19,25,21,4,3,1,0.333,0.06,0,4,3,1,0.333,0.105,0,3,2,1,0.115,0.5,0,0.03,0.56,-1,-2.11,0.455,0.61,16
worked_across,-1.91,1.37,0,38,1,1,0,0,2,50,38,12,42,22,9,31,11,6,2,4,2,0.136,0,6,2,4,2,0.188,0,2,1,1,0.2,1,0,-0.04,-0.88,1.54,2.55,-0.525,-0.43,13
introduced_bipartisan,-0.65,2.32,0,56,1,1,1,0,2,72,56,16,41,30,10,31,10,9,4,5,1.25,0.143,0,9,4,5,1.25,0.191,0,4,2,2,0.333,1,0,-0.06,-0.77,2.47,5.31,-2.246,-2.68,21
offshore_drilling,-0.83,3.2,0,47,1,1,1,0,2,58,47,11,41,18,3,34,7,4,3,1,0.333,0.074,0,4,3,1,0.333,0.093,0,3,2,1,0.375,0.5,0,-0.08,-1.92,3.15,4.71,-3.04,-2.12,17
resident,-2.28,1.05,0,116,1,1,0,0,1,218,116,102,194,23,29,99,95,3,3,0,0,0.014,0,3,2,1,0.5,0.027,0,3,2,1,0.03,0.5,0,0.07,1.87,1.2,1.91,-0.378,-0.56,8
values,-0.84,0.38,0,692,1,1,0,0,1,1473,692,778,726,91,93,350,373,20,12,8,0.667,0.014,0,12,11,1,0.091,0.018,0,20,10,10,0.026,1,0,0.51,3.58,0.58,2.45,0.242,0.88,6
maintain,-1.5,0.24,0,378,1,1,1,0,1,617,378,239,395,62,32,228,167,7,6,1,0.167,0.011,0,6,5,1,0.2,0.016,0,7,6,1,0.03,0.167,0,0.06,0.86,0.59,1.84,1.709,2.75,8
democracy,-1.67,-0.85,0,1030,1,1,0,0,1,1145,1030,110,450,91,10,378,70,18,18,0,0,0.016,0,18,18,0,0,0.018,0,12,8,4,0.122,0.5,0,-0.56,-4.48,-0.62,-2.86,0.316,0.31,9
individual,-1.62,0.19,0,510,1,1,1,1,1,1073,510,561,539,47,59,261,276,17,16,1,0.062,0.016,0,16,11,5,0.455,0.032,0,17,14,3,0.031,0.214,0,0.52,5.5,0.65,1.94,0.739,1.88,10
rule,-1.85,0.47,0,227,1,1,0,0,1,476,227,248,283,42,33,141,141,14,11,3,0.273,0.03,0,11,7,4,0.571,0.051,0,14,7,7,0.06,1,0,0.24,3.17,0.74,1.79,0.121,0.24,4
rights,-0.84,-0.86,0,2199,1,1,0,0,1,3352,2199,1134,965,146,75,563,394,76,51,25,0.49,0.023,1,33,32,1,0.031,0.015,0,76,51,25,0.072,0.49,1,-0.41,-1.85,-0.58,-4.24,0.358,1.13,6
american,0.55,-0.13,0,3389,1,1,0,0,1,6029,3389,2599,1308,185,135,684,615,67,57,10,0.175,0.011,0,36,31,5,0.161,0.011,0,67,57,10,0.026,0.175,0,0.73,2.06,0.16,1.69,0.104,0.64,8
government,0.16,0.18,0,2717,1,1,1,1,1,5977,2717,3221,1294,160,143,641,645,145,84,61,0.726,0.025,1,44,42,2,0.048,0.016,0,145,84,61,0.047,0.726,1,2.32,7.19,0.47,3.52,0.544,3.4,10
justice,-1.8,-1.11,0,1025,1,1,0,1,1,1269,1025,241,521,95,32,389,130,23,14,9,0.643,0.018,0,23,14,9,0.643,0.023,0,9,8,1,0.039,0.125,0,-0.4,-2.82,-0.87,-4.37,-0.751,-1.45,7
common,-1.81,0.72,0,305,1,1,0,0,1,607,305,299,318,38,24,184,132,54,23,31,1.348,0.098,1,10,8,2,0.25,0.034,0,54,23,31,0.22,1.348,1,0.11,1.77,1.01,2.24,0.73,1.12,6
defense,-0.59,0.86,0,471,1,1,1,1,1,902,471,431,457,69,68,213,244,13,9,4,0.444,0.015,0,9,8,1,0.125,0.019,0,13,9,4,0.031,0.444,0,0.55,3.8,1.14,4.4,0.543,1.67,7
designed,-1.76,0.36,0,286,1,1,0,0,1,409,286,121,274,47,16,184,89,10,8,2,0.25,0.025,0,10,8,2,0.25,0.036,0,7,6,1,0.061,0.167,0,-0.02,-0.27,0.77,2,0.653,0.69,8
prevent,-0.48,0.06,0,915,1,1,0,0,1,1206,915,287,558,120,51,371,184,26,18,8,0.444,0.022,0,26,18,8,0.444,0.029,0,11,6,5,0.04,0.833,0,-0.11,-0.74,0.4,2.29,-0.303,-0.75,7
reach,-1.5,0.36,0,332,1,1,0,0,1,457,332,123,323,61,18,224,97,6,6,0,0,0.013,0,6,6,0,0,0.018,0,5,4,1,0.042,0.25,0,-0.12,-1.91,0.65,1.95,0.502,0.56,5
personal,-1.2,0.36,0,630,1,1,0,0,1,1104,630,470,598,73,38,337,258,25,11,14,1.273,0.023,0,11,9,2,0.222,0.018,0,25,7,18,0.056,2.571,0,0.01,0.07,0.65,2.27,0.31,0.56,8
