term,b0,b1,b1prior,count,party,political,demPolitical,repPolitical,interPartyPolitical,nWords,totCount,demCount,repCount,totCandN,demIncN,repIncN,demCandN,repCandN,maxCandN,secondCandN,maxGap,maxGap2ndRatio,maxToTotalMinusMaxRatio,outlierCapped,maxDemCandN,secondDemCandN,maxDemGap,maxDemGap2ndRatio,maxDemToTotalMinusMaxRatio,outlierCappedDem,maxRepCandN,secondRepCandN,maxRepGap,maxRepToTotalMinusMaxRatio,maxRepGap2ndRatio,outlierCappedRep,bParty,tParty,bDemRCCount,tDemRCCount,bRepRCCount,tRepRCCount,numChar
immigrant,-4.22,-2.62,0,364,D,1,1,1,1,1,491,364,124,283,43,4,202,80,11,10,1,0.1,0.023,0,10,9,1,0.111,0.028,0,11,7,4,0.097,0.571,0,-0.33,-3.06,-2.56,-8.01,-3.141,-1.99,9
voices,-3.18,-1.17,0,257,D,1,1,0,1,1,318,257,61,212,49,6,165,47,8,8,0,0,0.026,0,8,8,0,0,0.032,0,5,4,1,0.089,0.25,0,-0.21,-4.17,-0.99,-2.51,0.058,0.04,6
grown,-2.09,0.74,0,158,D,1,1,1,1,1,251,158,92,199,30,19,128,70,4,4,0,0,0.016,0,4,4,0,0,0.026,0,4,3,1,0.045,0.333,0,0.09,1.69,1.04,1.99,2.079,2.54,5
transportation,-1,-0.67,0,939,D,1,1,1,1,1,1219,939,277,470,107,45,324,144,21,16,5,0.312,0.018,0,21,16,5,0.312,0.023,0,14,13,1,0.053,0.077,0,-0.42,-1.65,-0.43,-2.65,-0.777,-2.19,14
arts,-3.09,-1.08,0,210,D,1,1,0,1,1,269,210,57,165,40,9,120,44,26,11,15,1.364,0.107,0,26,11,15,1.364,0.141,0,5,4,1,0.096,0.25,0,-0.14,-2.09,-0.86,-2.24,-1.441,-1.36,4
pledge,-1.76,2.44,0,188,D,1,1,1,1,1,356,188,167,216,12,17,110,105,21,17,4,0.235,0.063,0,17,8,9,1.125,0.099,0,21,8,13,0.144,1.625,0,0.09,2.26,2.81,3.17,3.392,3.5,6
taxpayers,-1.77,0.3,0,220,D,1,1,1,1,1,522,220,294,345,51,57,152,188,6,6,0,0,0.012,0,5,4,1,0.25,0.023,0,6,6,0,0.021,0,0,0.41,5.19,0.66,1.75,1.024,2.45,9
humanity,-4.77,-1.57,0,158,D,1,1,0,1,1,203,158,43,133,18,0,96,35,12,11,1,0.091,0.063,0,12,11,1,0.091,0.082,0,3,3,0,0.075,0,0,-0.06,-2.61,-1.36,-1.93,0,0,8
latino,-5.16,-1.79,0,78,D,1,1,0,1,1,89,78,11,65,13,2,55,10,4,4,0,0,0.047,0,4,4,0,0,0.054,0,2,1,1,0.222,1,0,-0.05,-1.77,-1.62,-2.1,-2.667,-1.2,6
activism,-6.51,-2.62,0,70,D,1,1,0,1,1,87,70,17,69,10,0,54,15,4,3,1,0.333,0.048,0,4,3,1,0.333,0.061,0,2,2,0,0.133,0,0,-0.04,-2.56,-2.57,-2.55,0,0,8
nonviolent,-5.1,-1.66,0,91,D,1,1,0,1,1,99,91,7,75,13,0,69,5,6,5,1,0.2,0.065,0,6,5,1,0.2,0.071,0,2,2,0,0.4,0,0,-0.05,-2.16,-1.46,-1.84,0,0,10
